image_path,zone_type,built_ratio,vegetation_ratio,water_ratio,road_density,distance_to_center_km,night_light_index,public_transport_score,population_density,density_class,mean_red,mean_green,mean_blue,brightness,contrast,vegetation_index,water_index,built_up_proxy,texture,grayness
data\images\sat_patch_0000.png,periurbano,0.23166353192561573,0.693439167964553,0.011301281746517943,0.34407881017077735,10.574607658183123,0.419994583740289,0.3387013225335348,2339.4436219846193,baixa,74.028564453125,150.2705078125,90.053955078125,104.78434244791667,41.411934070831514,0.339911985588482,0.09766665317618593,-0.6511397199409712,14.826182208994709,0.7269212921947454
data\images\sat_patch_0001.png,residencial,0.3967244466931099,0.37823868417066964,0.06652620936172708,0.39138695703382986,11.23381545007465,0.5905139834977755,0.3254320231664687,5257.098258324509,media,81.525390625,120.2158203125,89.94873046875,97.22998046875,30.159806670651538,0.19178247873065424,0.049123096481839455,-0.35461037063661865,14.365492724867725,0.8494630533716722
data\images\sat_patch_0002.png,centro,0.8862412326838599,0.18236887960629355,0.004907331305248111,0.8253390098713134,7.286375387773841,1.0,0.822789431400136,13243.28866594321,alta,98.298828125,107.763916015625,89.73388671875,98.598876953125,31.955535341676576,0.045933037940291764,-0.045550272290739185,-0.13942915861867863,16.74694113756614,0.91376902985048
data\images\sat_patch_0003.png,parque_urbano,0.2068328768061092,0.7420706059898531,0.048203842868723895,0.1309015386286157,11.86974972537922,0.38895439559714706,0.16101915676161505,100.0,baixa,81.7255859375,156.566162109375,86.053955078125,108.115234375,43.51820929276887,0.3140712025121479,0.025797955392093674,-0.67221230522676,14.000041335978835,0.718702724072058
data\images\sat_patch_0004.png,periurbano,0.37887527347733574,0.38915090614145703,0.09229242994780587,0.2617513958326826,10.340236206591804,0.5116723843419074,0.46082158449726474,5527.140249901512,media,83.452880859375,122.32421875,87.8466796875,97.87459309895833,32.554773740443395,0.18890021180935068,0.025649796114175494,-0.3747084604967248,14.461598875661377,0.8444157507327409
data\images\sat_patch_0005.png,periurbano,0.23791410933051224,0.5858915366861305,0.10620896405450214,0.21561347303921544,16.246722992936128,0.2588621111934274,0.3276768449032405,100.0,baixa,80.90185546875,131.93310546875,100.143310546875,104.32609049479167,30.76965511761409,0.2397691128160869,0.1062798604088911,-0.3969335174701226,14.04646164021164,0.8166755933887875
data\images\sat_patch_0006.png,residencial,0.6343424511726148,0.25412562167017344,0.08528705029380285,0.35493682324336145,8.118900335822465,0.7695938773300341,0.5391489275944389,10054.127871438175,alta,105.538818359375,107.60498046875,89.82666015625,100.99015299479167,32.4472802177822,0.009693747184019018,-0.08042443446037952,-0.09824958987040673,15.766162367724867,0.9153949540326842
data\images\sat_patch_0007.png,residencial,0.4095425160649154,0.20917874039396234,0.036109542418668164,0.4407126783600981,9.522154889457813,0.6695368230624985,0.5030310234055013,7726.066315956985,media,88.52685546875,108.83251953125,79.2177734375,92.1923828125,27.044152157847137,0.10288674637124917,-0.05549555915114963,-0.27074042394747955,14.296378968253968,0.8820245247994336
data\images\sat_patch_0008.png,centro,0.8169624699811538,0.14040502223438844,0.010763848761620771,0.8468829760271499,6.49210355747864,1.0,0.7159731781819874,13370.88884626771,alta,94.021240234375,101.2353515625,90.84130859375,95.365966796875,34.64106695059291,0.03694682583972887,-0.017201600018941235,-0.0923188570496109,18.77190806878307,0.93025552579369
data\images\sat_patch_0009.png,residencial,0.46046043034352213,0.35857118215207323,0.08095706911180374,0.5700543704052959,11.80602459442522,0.49582535203183664,0.5641336149807714,6315.829261146136,media,78.95263671875,124.44189453125,90.199951171875,97.86482747395833,33.60524086231558,0.2236503474763393,0.06649212126689694,-0.4073537062045296,14.788029100529101,0.8230976560776424
data\images\sat_patch_0010.png,residencial,0.6025218818852469,0.26199208995451095,0.09194801002937003,0.590214097548569,8.664321194192015,0.7095783415068576,0.7027375687910129,8569.233461313686,media,91.702880859375,104.460205078125,82.114990234375,92.75935872395833,25.08772276059992,0.06503427539766767,-0.05516055690653432,-0.18921292237765172,14.673487103174603,0.9047938750466692
data\images\sat_patch_0011.png,centro,0.7674217715977776,0.04007760791474272,0.0799207124762472,0.8741356571324768,5.958654229209912,0.9888200350996226,0.8666541617265004,13644.551857721091,alta,95.924560546875,99.438232421875,88.587890625,94.65022786458333,24.468990592158054,0.017985368675480975,-0.039762465001770324,-0.0758794450060215,15.08870701058201,0.9321828805612845
data\images\sat_patch_0012.png,centro,0.9443396692557873,0.10534262945122763,0.019740303915747964,0.6312501501372657,1.3318118269505852,0.8781636774745861,0.8611783618737344,14209.880225320345,alta,99.219970703125,104.432373046875,88.67724609375,97.44319661458333,26.61794206511193,0.025594610021056487,-0.05610899795638347,-0.10758847107936555,15.75297619047619,0.9212856470576788
data\images\sat_patch_0013.png,residencial,0.5716892629444519,0.18541792975210408,0.031149288071582938,0.6945760594506694,11.344746188293318,0.6590306772586811,0.7114514885114455,8725.769348506343,media,94.23583984375,110.586669921875,91.93994140625,98.92081705729167,30.65220936647078,0.07982926298972569,-0.012331885542540805,-0.17689683163295603,16.35958167989418,0.9072512430032004
data\images\sat_patch_0014.png,periurbano,0.35138453947257986,0.679412931437402,0.06202081120280673,0.10805155086364723,14.816464312776185,0.3851963651978428,0.29302557255946726,1349.3206242520498,baixa,78.922607421875,153.376220703125,87.528564453125,106.609130859375,44.75450219539499,0.32050791457578337,0.051702591712662935,-0.6580171280088714,14.688616071428573,0.7235594462272779
data\images\sat_patch_0015.png,centro,0.6739516571848091,0.07661384388483146,0.005482851746441515,0.6007418549783534,1.5040566820276595,0.917291073710667,0.6093832075253065,11070.262652652465,alta,94.838623046875,103.35595703125,88.553955078125,95.58284505208333,27.972558027158726,0.04297460575381528,-0.03426893279289334,-0.12198494238596556,16.223007605820104,0.9244781110803169
